collection,model,query,NDCG_10
cw09,3b,125,0.04455226209887732
cw09,3b,126,0.10209739512291163
cw09,3b,127,0.2388934115087108
cw09,3b,128,0.3469729445764595
cw09,3b,129,0.08312090131598301
cw09,3b,130,0.33333333333333337
cw09,3b,131,0.07180140873718398
cw09,3b,132,0.5925846332364243
cw09,3b,133,0.4611143078171934
cw09,3b,134,0.4011248950259844
cw09,3b,135,0.9217868789962071
cw09,3b,136,0.044350670045243
cw09,3b,137,0.40706447100493753
cw09,3b,138,0.5919268187287083
cw09,3b,139,0.21324101872937895
cw09,3b,140,0.32662592711430266
cw09,3b,141,0.19204667461783975
cw09,3b,142,0.22009176629808017
cw09,3b,143,0.7471589728148226
cw09,3b,144,0.5018156877038713
cw09,3b,145,0.4110178892537
cw09,3b,146,0.22762622895961598
cw09,3b,147,0.8072935003394296
cw09,3b,148,0.24879641564225596
cw09,3b,149,0.06625422345438903
cw09,3b,150,0.6096199500078984
cw09,3b,151,0.32957288949117164
cw09,3b,152,
cw09,3b,153,0.33337452809052237
cw09,3b,154,0.07839826897867533
cw09,3b,155,0.3827160388385182
cw09,3b,156,0.3478011583105327
cw09,3b,157,
cw09,3b,158,0.07186190911730042
cw09,3b,159,0.13568544539116628
cw09,3b,160,
cw09,3b,161,
cw09,3b,162,0.02096070301910294
cw09,3b,163,0.8958531670948341
cw09,3b,164,0.650033222048579
cw09,3b,165,0.2866874017664535
cw09,3b,166,
cw09,3b,167,0.330632251964224
cw09,3b,168,0.34793092127302117
cw09,3b,169,0.26010837691647787
cw09,3b,170,
cw09,3b,171,0.16922981576486099
cw09,3b,172,0.3974864805212228
cw09,3b,173,0.2298129949533155
cw09,3b,174,0.5199967979955745
cw09,3b,175,0.6095313704189416
cw09,3b,176,0.07961451623060037
cw09,3b,177,0.06625422345438903
cw09,3b,178,0.24966402870278917
cw09,3b,179,
cw09,3b,180,0.14662246212156255
cw09,3b,181,0.052986596962244475
cw09,3b,182,0.2117424147786306
cw09,3b,183,0.14735717231124232
cw09,3b,184,0.28838205139432177
cw09,3b,185,0.16604727352783397
cw09,3b,186,0.2978279533359249
cw09,3b,187,0.174035852298417
cw09,3b,188,0.04564017040744311
cw09,3b,189,0.22107076824311955
cw09,3b,190,0.04094574451322003
cw09,3b,191,0.103484098166461
cw09,3b,192,0.7961643924693815
cw09,3b,193,0.2737487430693454
cw09,3b,194,0.03257094302453186
cw09,3b,195,
cw09,3b,196,0.22871422058959476
cw09,3b,197,0.519563256616401
cw09,3b,198,0.10801314329764554
cw09,3b,199,0.44937919198187337
cw09,3b,200,0.38553874312805986
cw09,3b,all,0.3368203443632025
